,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESX666_20230216002023030300T.scan,3,72,-0.847,-1.391,-0.181,-1.411,-0.19,-0.055,0.82,0.0,0.0,0.0,0.452,1.986,-9.029,-7.581,-0.145,-0.092,-0.315,0.183,-0.028,0.019
VIESX666_20230216002023030300T.scan,4,96,-0.927,-1.52,-0.279,-1.543,-0.29,-0.17,0.875,-0.0,0.0,0.0,0.556,2.134,-11.336,-11.449,-0.057,-0.02,-0.278,0.176,-0.023,-0.008
VIESX666_20230216002023030300T.scan,5,120,-1.012,-1.651,-0.413,-1.676,-0.424,-0.303,1.091,-0.0,0.0,0.0,0.642,3.512,-12.714,-15.12,-0.019,0.057,-0.246,0.194,-0.006,0.014
VIESX666_20230216002023030300T.scan,6,144,-1.074,-1.778,-0.552,-1.805,-0.564,-0.466,1.069,-0.0,0.0,0.0,0.698,3.051,-15.608,-21.103,0.036,0.156,-0.167,0.218,0.025,0.055
VIESX666_20230216002023030300T.scan,7,168,-1.155,-1.886,-0.699,-1.915,-0.711,-0.617,0.929,-0.0,0.0,0.0,0.763,1.56,-19.867,-28.311,0.095,0.272,-0.07,0.231,0.042,0.057
VIESX666_20230216002023030300T.scan,8,192,-1.253,-2.009,-0.875,-2.039,-0.887,-0.748,0.941,-0.0,0.0,0.0,0.829,1.18,-23.082,-35.035,0.142,0.399,0.082,0.209,0.06,0.06
VIESX666_20230216002023030300T.scan,9,216,-1.394,-2.172,-1.036,-2.201,-1.047,-0.802,1.031,-0.0,0.0,0.0,0.859,1.2,-25.878,-40.092,0.204,0.546,0.289,0.191,0.026,0.043
VIESX666_20230216002023030300T.scan,10,240,-1.513,-2.299,-1.127,-2.325,-1.138,-0.855,0.946,-0.0,0.0,0.0,0.836,-0.136,-28.897,-44.347,0.181,0.632,0.399,0.219,0.015,0.018
VIESX666_20230216002023030300T.scan,11,264,-1.629,-2.431,-1.162,-2.459,-1.173,-0.902,1.023,-0.0,0.0,0.0,0.839,-0.196,-30.093,-45.998,0.152,0.657,0.458,0.199,0.009,-0.002
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,-0.294,-0.333,-0.164,-0.337,-0.171,-0.144,0.201,0.0,0.0,0.0,0.25,0.772,-2.06,-3.009,-0.079,-0.065,-0.083,-0.004,0.04,-0.065
VIESDTC_20230216002023030300T.scan,2,48,-0.458,-0.528,-0.287,-0.534,-0.299,-0.279,0.357,-0.0,0.0,0.0,0.425,1.641,-3.113,-4.822,-0.073,-0.043,-0.094,-0.029,0.033,-0.037
VIESDTC_20230216002023030300T.scan,3,72,-0.597,-0.658,-0.415,-0.667,-0.428,-0.433,0.5,0.0,0.0,0.0,0.571,2.579,-3.69,-7.339,-0.112,-0.025,-0.085,0.016,0.044,-0.043
VIESDTC_20230216002023030300T.scan,4,96,-0.747,-0.806,-0.539,-0.816,-0.555,-0.631,0.609,0.0,0.0,0.0,0.695,3.193,-4.545,-11.302,-0.098,-0.003,-0.054,0.045,0.041,-0.065
VIESDTC_20230216002023030300T.scan,5,120,-0.808,-0.871,-0.688,-0.883,-0.706,-0.819,0.585,0.0,0.0,0.0,0.796,2.963,-5.906,-16.437,0.021,0.125,0.079,0.054,0.062,0.003
VIESDTC_20230216002023030300T.scan,6,144,-0.863,-0.932,-0.829,-0.946,-0.849,-0.959,0.427,0.0,0.0,0.0,0.893,1.7,-8.381,-22.89,0.083,0.272,0.215,0.118,0.084,0.05
VIESDTC_20230216002023030300T.scan,7,168,-0.92,-0.994,-1.0,-1.009,-1.022,-1.016,0.224,0.0,0.0,0.0,0.947,0.04,-11.401,-29.124,0.144,0.441,0.364,0.068,0.077,0.067
VIESDTC_20230216002023030300T.scan,8,192,-1.012,-1.094,-1.159,-1.107,-1.181,-1.078,0.04,0.0,0.0,0.0,0.922,-1.61,-14.526,-35.191,0.161,0.533,0.478,0.059,0.082,0.111
