,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEBAMH_20230216002023030300T.scan,7,168,4.7,4.819,4.215,4.734,4.182,3.736,9.277,0.002,0.002,0.002,6.95,70.855,75.823,121.885,7.731,7.493,13.287,7.726,7.595,14.079
RMSEBAMH_20230216002023030300T.scan,8,192,4.872,5.012,4.506,4.917,4.468,3.917,10.036,0.002,0.002,0.002,7.311,77.257,83.632,134.088,8.133,7.971,14.215,8.161,8.067,15.01
RMSEBAMH_20230216002023030300T.scan,9,216,5.067,5.229,4.791,5.123,4.745,4.045,10.819,0.002,0.002,0.002,7.661,83.617,91.446,147.954,8.481,8.437,15.111,8.409,8.421,15.799
RMSEBAMH_20230216002023030300T.scan,10,240,5.12,5.29,5.045,5.181,4.995,4.112,11.43,0.002,0.002,0.002,7.881,88.431,97.519,159.204,8.708,8.768,15.965,8.503,8.635,16.484
RMSEBAMH_20230216002023030300T.scan,11,264,5.198,5.367,5.218,5.259,5.169,4.245,11.926,0.002,0.002,0.002,7.955,92.522,102.457,165.338,8.893,9.069,16.438,8.552,8.786,16.73
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.153,-0.637,-0.044,-0.652,-0.047,0.084,0.143,0.0,0.0,0.0,0.118,0.185,-4.021,-2.889,-0.093,-0.041,-0.097,0.133,-0.016,-0.095
VIESX666_20230216002023030300T.scan,2,48,-0.122,-0.735,-0.054,-0.754,-0.06,0.055,-0.008,0.0,0.0,0.0,0.259,-0.915,-6.937,-5.366,-0.173,-0.097,-0.102,0.109,0.004,-0.118
VIESX666_20230216002023030300T.scan,3,72,-0.08,-0.76,-0.058,-0.781,-0.067,-0.009,-0.168,0.0,0.0,0.0,0.395,-1.911,-8.796,-7.419,-0.219,-0.1,-0.113,0.105,0.019,-0.138
VIESX666_20230216002023030300T.scan,4,96,-0.075,-0.79,-0.101,-0.813,-0.111,-0.096,-0.281,0.0,0.0,0.0,0.529,-2.678,-10.764,-10.336,-0.218,-0.139,-0.05,0.109,-0.002,-0.161
VIESX666_20230216002023030300T.scan,5,120,-0.085,-0.811,-0.167,-0.835,-0.18,-0.194,-0.267,0.0,0.0,0.0,0.653,-2.453,-11.619,-12.56,-0.261,-0.137,-0.024,0.131,-0.005,-0.176
VIESX666_20230216002023030300T.scan,6,144,-0.113,-0.868,-0.239,-0.892,-0.254,-0.281,-0.232,0.0,0.0,0.0,0.763,-2.252,-12.632,-15.098,-0.239,-0.133,0.099,0.175,0.019,-0.174
