,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEBAMH_20230216002023030300T.scan,10,240,6.679,6.648,5.939,6.524,5.875,4.912,14.334,0.002,0.002,0.001,6.105,108.054,114.565,181.514,9.425,9.819,17.249,9.44,9.841,17.764
RMSEBAMH_20230216002023030300T.scan,11,264,6.714,6.685,6.165,6.565,6.104,5.104,14.957,0.002,0.002,0.001,6.09,113.099,120.177,189.535,9.704,10.218,17.85,9.414,9.948,18.035
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,0.268,-0.321,0.002,-0.335,0.0,0.04,-0.491,0.0,0.0,0.0,0.178,-2.719,-5.778,-4.315,0.09,-0.001,-0.193,0.007,-0.042,-0.055
VIESX666_20230216002023030300T.scan,2,48,0.564,-0.18,0.036,-0.199,0.032,0.003,-1.015,0.0,0.0,0.0,0.317,-5.389,-9.214,-6.784,0.249,0.029,-0.154,0.023,-0.063,-0.042
VIESX666_20230216002023030300T.scan,3,72,0.762,-0.065,0.08,-0.089,0.075,-0.047,-1.45,0.0,0.0,0.0,0.416,-7.676,-11.06,-8.276,0.395,0.058,-0.152,0.08,-0.034,-0.082
VIESX666_20230216002023030300T.scan,4,96,0.882,-0.005,0.082,-0.03,0.076,-0.113,-1.84,0.0,0.0,0.0,0.468,-10.046,-13.754,-11.178,0.461,0.062,-0.094,0.093,-0.062,-0.074
VIESX666_20230216002023030300T.scan,5,120,0.96,0.084,0.067,0.059,0.06,-0.19,-2.119,0.0,0.0,0.0,0.49,-11.633,-15.032,-12.926,0.483,0.084,-0.114,0.109,-0.074,-0.112
VIESX666_20230216002023030300T.scan,6,144,0.951,0.051,0.05,0.027,0.043,-0.217,-2.121,0.0,0.0,0.0,0.525,-11.628,-15.558,-13.611,0.582,0.168,0.036,0.17,-0.102,-0.166
VIESX666_20230216002023030300T.scan,7,168,0.969,0.056,0.052,0.031,0.044,-0.214,-2.188,0.0,0.0,0.0,0.56,-12.084,-16.36,-14.191,0.633,0.277,0.176,0.171,-0.079,-0.166
VIESX666_20230216002023030300T.scan,8,192,0.927,0.038,0.1,0.013,0.091,-0.186,-2.117,0.0,0.0,0.0,0.614,-11.844,-15.866,-12.473,0.709,0.279,0.142,0.143,-0.063,-0.171
VIESX666_20230216002023030300T.scan,9,216,0.823,0.017,0.209,-0.004,0.199,-0.109,-2.19,0.0,0.0,0.0,0.623,-12.8,-15.875,-10.059,0.697,0.25,0.017,0.102,-0.024,-0.127
VIESX666_20230216002023030300T.scan,10,240,0.757,-0.041,0.301,-0.062,0.292,-0.064,-2.075,0.0,0.0,0.0,0.624,-11.989,-14.305,-6.877,0.806,0.209,-0.151,0.167,0.021,-0.152
VIESX666_20230216002023030300T.scan,11,264,0.731,-0.106,0.287,-0.129,0.277,-0.064,-1.857,0.0,0.0,0.0,0.67,-10.265,-12.786,-6.061,0.908,0.198,-0.243,0.133,-0.006,-0.156
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,0.237,0.266,-0.17,0.26,-0.175,-0.017,-0.538,0.0,0.0,0.0,0.195,-3.44,-3.995,-3.313,0.253,0.044,-0.104,0.039,0.043,-0.047
VIESDTC_20230216002023030300T.scan,2,48,0.412,0.41,-0.238,0.403,-0.246,-0.027,-1.033,0.0,0.0,0.0,0.293,-6.6,-7.077,-5.202,0.389,0.033,-0.113,0.136,0.042,-0.036
VIESDTC_20230216002023030300T.scan,3,72,0.547,0.525,-0.269,0.518,-0.279,-0.153,-1.359,0.0,0.0,0.0,0.36,-8.631,-9.017,-7.475,0.471,0.154,-0.122,0.204,0.031,-0.032
VIESDTC_20230216002023030300T.scan,4,96,0.654,0.627,-0.277,0.62,-0.289,-0.285,-1.521,0.0,0.0,0.0,0.429,-9.519,-9.606,-8.85,0.473,0.077,-0.173,0.229,0.001,-0.002
VIESDTC_20230216002023030300T.scan,5,120,0.724,0.697,-0.304,0.689,-0.318,-0.418,-1.612,0.0,0.0,0.0,0.485,-9.985,-9.898,-10.492,0.405,-0.053,-0.263,0.221,-0.0,-0.032
VIESDTC_20230216002023030300T.scan,6,144,0.735,0.702,-0.344,0.694,-0.359,-0.507,-1.582,0.0,0.0,0.0,0.525,-9.605,-9.768,-12.411,0.443,-0.044,-0.24,0.195,-0.025,-0.117
VIESDTC_20230216002023030300T.scan,7,168,0.748,0.702,-0.397,0.692,-0.412,-0.489,-1.607,0.0,0.0,0.0,0.559,-9.733,-10.303,-13.986,0.512,0.033,-0.122,0.192,-0.038,-0.204
VIESDTC_20230216002023030300T.scan,8,192,0.739,0.698,-0.423,0.687,-0.439,-0.448,-1.655,0.0,0.0,0.0,0.607,-10.132,-10.977,-14.53,0.654,0.061,-0.054,0.238,-0.037,-0.174
VIESDTC_20230216002023030300T.scan,9,216,0.705,0.638,-0.4,0.628,-0.419,-0.396,-1.747,0.0,0.0,0.0,0.614,-10.848,-11.874,-12.934,0.624,0.046,-0.066,0.247,-0.038,-0.122
VIESDTC_20230216002023030300T.scan,10,240,0.663,0.574,-0.37,0.562,-0.386,-0.313,-1.855,0.0,0.0,0.0,0.616,-11.64,-12.749,-11.82,0.628,0.056,-0.28,0.235,0.013,-0.063
VIESDTC_20230216002023030300T.scan,11,264,0.664,0.558,-0.361,0.543,-0.378,-0.338,-1.851,0.0,0.0,0.0,0.659,-11.547,-12.794,-11.73,0.694,0.083,-0.293,0.316,0.001,-0.083
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,0.18,0.136,-0.104,0.13,-0.109,0.123,-0.596,0.0,0.0,0.0,0.204,-4.045,-5.09,0.661,0.246,0.051,-0.195,0.074,0.059,-0.068
VIESBAMH_20230216002023030300T.scan,2,48,0.314,0.243,-0.071,0.238,-0.08,0.174,-1.175,0.0,0.0,0.0,0.328,-7.911,-8.664,2.239,0.421,0.098,-0.274,0.201,0.058,-0.079
VIESBAMH_20230216002023030300T.scan,3,72,0.459,0.379,-0.027,0.372,-0.039,0.177,-1.538,0.0,0.0,0.0,0.432,-10.172,-10.329,2.665,0.518,0.201,-0.364,0.284,0.017,-0.062
VIESBAMH_20230216002023030300T.scan,4,96,0.545,0.472,-0.004,0.463,-0.019,0.151,-1.694,0.0,0.0,0.0,0.524,-11.047,-10.914,3.434,0.507,0.159,-0.419,0.28,0.007,-0.016
VIESBAMH_20230216002023030300T.scan,5,120,0.652,0.579,0.013,0.57,-0.004,0.103,-1.827,0.0,0.0,0.0,0.59,-11.728,-11.127,3.491,0.456,0.063,-0.525,0.211,-0.014,-0.01
VIESBAMH_20230216002023030300T.scan,6,144,0.684,0.605,0.006,0.596,-0.013,0.085,-1.896,0.0,0.0,0.0,0.621,-12.019,-11.523,2.731,0.596,0.158,-0.511,0.222,0.002,-0.055
VIESBAMH_20230216002023030300T.scan,7,168,0.713,0.614,-0.023,0.604,-0.043,0.086,-1.791,0.0,0.0,0.0,0.677,-11.146,-10.869,3.104,0.672,0.171,-0.455,0.238,-0.017,-0.113
VIESBAMH_20230216002023030300T.scan,8,192,0.676,0.583,-0.048,0.571,-0.069,0.141,-1.782,0.0,0.0,0.0,0.743,-11.126,-11.114,4.082,0.776,0.187,-0.366,0.211,-0.03,-0.11
VIESBAMH_20230216002023030300T.scan,9,216,0.611,0.507,-0.034,0.494,-0.056,0.262,-1.852,0.0,0.0,0.0,0.769,-11.774,-11.91,6.406,0.833,0.207,-0.353,0.183,-0.015,-0.104
VIESBAMH_20230216002023030300T.scan,10,240,0.554,0.441,-0.032,0.428,-0.052,0.406,-2.151,0.0,0.0,0.0,0.727,-14.07,-14.625,6.43,0.947,0.388,-0.425,0.226,-0.032,-0.109
VIESBAMH_20230216002023030300T.scan,11,264,0.542,0.417,-0.106,0.4,-0.127,0.445,-2.38,0.0,0.0,0.0,0.755,-15.757,-16.849,3.476,1.119,0.575,-0.38,0.35,0.009,-0.107
