,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEBAMH_20230216002023030300T.scan,4,96,1.365,1.405,1.219,1.498,1.337,1.176,2.553,0.001,0.002,0.002,6.147,22.182,22.841,31.302,5.338,3.904,7.219,4.733,3.213,7.098
RMSEBAMH_20230216002023030300T.scan,5,120,1.486,1.54,1.289,1.636,1.412,1.211,2.549,0.002,0.002,0.002,6.592,22.022,22.668,32.264,5.529,4.196,7.719,4.912,3.412,7.619
RMSEBAMH_20230216002023030300T.scan,6,144,1.557,1.637,1.351,1.734,1.484,1.258,2.59,0.002,0.002,0.002,7.021,22.196,22.662,33.456,5.736,4.471,8.24,5.078,3.626,7.785
RMSEBAMH_20230216002023030300T.scan,7,168,1.598,1.694,1.393,1.785,1.531,1.305,2.595,0.002,0.002,0.002,7.313,22.187,22.731,34.639,5.884,4.656,8.676,5.205,3.789,8.093
RMSEBAMH_20230216002023030300T.scan,8,192,1.657,1.749,1.431,1.839,1.566,1.371,2.59,0.002,0.002,0.002,7.645,22.159,22.958,36.416,6.065,4.844,9.162,5.328,3.843,8.44
RMSEBAMH_20230216002023030300T.scan,9,216,1.706,1.791,1.431,1.881,1.567,1.451,2.686,0.002,0.002,0.002,8.016,22.925,23.451,37.741,6.19,5.027,9.591,5.432,3.968,8.657
RMSEBAMH_20230216002023030300T.scan,10,240,1.762,1.846,1.487,1.937,1.627,1.527,2.833,0.002,0.002,0.002,8.309,24.1,24.183,39.194,6.312,5.273,10.342,5.542,4.086,9.11
RMSEBAMH_20230216002023030300T.scan,11,264,1.817,1.9,1.505,1.986,1.644,1.605,2.895,0.002,0.002,0.003,8.56,24.563,24.703,40.762,6.364,5.416,10.903,5.607,4.218,9.337
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.011,-0.594,-0.064,-0.618,-0.071,0.14,0.257,0.0,0.0,0.0,-0.058,1.848,-1.438,-1.807,-0.314,-0.082,0.132,0.264,0.029,-0.206
VIESX666_20230216002023030300T.scan,2,48,-0.062,-0.746,-0.082,-0.768,-0.093,0.156,0.252,0.0,0.0,0.0,0.076,1.446,-3.548,-3.994,-0.845,-0.289,0.215,0.134,0.13,-0.401
VIESX666_20230216002023030300T.scan,3,72,-0.084,-0.786,-0.073,-0.803,-0.09,0.112,0.209,0.0,0.0,0.0,0.305,0.959,-4.668,-5.581,-1.308,-0.395,0.233,0.028,0.167,-0.454
VIESX666_20230216002023030300T.scan,4,96,-0.116,-0.797,-0.104,-0.814,-0.124,0.041,0.253,0.0,0.0,0.0,0.62,1.216,-5.021,-7.094,-1.541,-0.678,0.322,0.036,0.12,-0.522
VIESX666_20230216002023030300T.scan,5,120,-0.139,-0.806,-0.144,-0.825,-0.171,-0.04,0.408,0.0,0.0,0.0,0.955,2.499,-4.309,-7.743,-1.805,-0.814,0.402,0.068,0.102,-0.554
VIESX666_20230216002023030300T.scan,6,144,-0.142,-0.792,-0.194,-0.813,-0.228,-0.105,0.566,0.0,0.0,0.0,1.251,3.875,-3.272,-7.922,-1.949,-1.069,0.549,0.119,0.195,-0.53
VIESX666_20230216002023030300T.scan,7,168,-0.142,-0.793,-0.217,-0.818,-0.256,-0.14,0.537,0.0,0.0,0.0,1.461,3.618,-3.643,-8.995,-2.028,-1.257,0.595,0.136,0.17,-0.562
VIESX666_20230216002023030300T.scan,8,192,-0.135,-0.787,-0.212,-0.816,-0.255,-0.18,0.422,0.0,0.0,0.0,1.584,2.632,-4.319,-10.025,-1.969,-1.444,0.658,0.102,0.258,-0.475
VIESX666_20230216002023030300T.scan,9,216,-0.142,-0.772,-0.212,-0.801,-0.262,-0.21,0.435,0.0,0.0,0.0,1.678,2.745,-3.862,-9.989,-1.987,-1.676,0.47,0.178,0.281,-0.446
VIESX666_20230216002023030300T.scan,10,240,-0.143,-0.784,-0.21,-0.823,-0.263,-0.232,0.426,0.0,0.0,0.0,1.79,2.655,-3.795,-10.382,-1.933,-1.778,0.391,0.294,0.232,-0.466
VIESX666_20230216002023030300T.scan,11,264,-0.155,-0.794,-0.244,-0.839,-0.298,-0.254,0.438,0.0,0.0,0.0,1.847,2.697,-3.865,-11.017,-1.84,-1.857,0.333,0.197,0.246,-0.417
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,-0.125,-0.147,-0.166,-0.151,-0.172,-0.226,0.111,-0.0,0.0,0.0,0.276,0.641,-0.822,-6.777,-0.225,-0.083,-0.047,-0.144,-0.02,-0.18
VIESDTC_20230216002023030300T.scan,2,48,-0.222,-0.262,-0.248,-0.267,-0.262,-0.274,0.16,-0.0,0.0,0.0,0.456,0.857,-1.687,-8.441,-0.374,-0.184,0.016,-0.099,-0.038,-0.053
VIESDTC_20230216002023030300T.scan,3,72,-0.279,-0.317,-0.304,-0.322,-0.326,-0.336,0.141,-0.0,0.0,0.0,0.633,0.557,-2.577,-10.349,-0.428,-0.265,0.074,-0.071,0.008,-0.317
VIESDTC_20230216002023030300T.scan,4,96,-0.323,-0.354,-0.326,-0.358,-0.351,-0.406,0.091,-0.0,0.0,0.0,0.738,0.001,-3.436,-12.007,-0.496,-0.304,0.115,-0.245,-0.025,-0.448
VIESDTC_20230216002023030300T.scan,5,120,-0.365,-0.392,-0.329,-0.393,-0.358,-0.465,0.08,-0.0,0.0,0.0,0.805,-0.18,-3.819,-13.216,-0.663,-0.332,0.242,-0.143,0.029,-0.67
VIESDTC_20230216002023030300T.scan,6,144,-0.386,-0.416,-0.343,-0.416,-0.375,-0.519,0.09,-0.0,0.0,0.0,0.826,-0.146,-3.978,-14.361,-0.772,-0.384,0.297,-0.179,-0.02,-0.453
VIESDTC_20230216002023030300T.scan,7,168,-0.419,-0.457,-0.359,-0.457,-0.392,-0.548,0.084,-0.0,0.0,0.0,0.817,-0.271,-4.412,-15.315,-0.798,-0.37,0.382,-0.163,0.047,-0.426
VIESDTC_20230216002023030300T.scan,8,192,-0.456,-0.497,-0.361,-0.497,-0.395,-0.576,0.075,-0.0,0.0,0.0,0.837,-0.439,-4.756,-16.27,-0.888,-0.404,0.342,-0.247,0.091,-0.428
VIESDTC_20230216002023030300T.scan,9,216,-0.474,-0.511,-0.343,-0.508,-0.376,-0.62,0.069,-0.0,0.0,0.0,0.844,-0.537,-4.872,-16.988,-1.032,-0.318,0.248,-0.159,0.119,-0.355
VIESDTC_20230216002023030300T.scan,10,240,-0.489,-0.518,-0.348,-0.513,-0.38,-0.659,0.121,-0.0,-0.0,0.0,0.859,-0.119,-4.476,-17.539,-1.052,-0.339,0.189,-0.246,0.091,-0.398
VIESDTC_20230216002023030300T.scan,11,264,-0.531,-0.55,-0.369,-0.543,-0.4,-0.673,0.175,-0.0,-0.0,0.0,0.87,0.24,-4.288,-18.311,-1.224,-0.394,0.245,-0.24,0.138,-0.327
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.075,-0.098,-0.169,-0.096,-0.177,-0.143,0.163,-0.0,-0.0,0.0,0.284,1.225,0.082,-4.819,-0.247,-0.062,-0.235,-0.213,0.035,-0.053
