,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESX666_20230216002023030300T.scan,9,216,-0.131,-0.517,-0.801,-0.454,-0.81,-0.255,1.88,-0.0,-0.0,0.0,-0.064,15.942,3.907,-6.766,-0.851,-1.891,1.77,-0.197,-0.3,-0.174
VIESX666_20230216002023030300T.scan,10,240,-0.234,-0.588,-0.78,-0.518,-0.791,-0.269,2.017,-0.0,-0.0,0.0,-0.219,16.652,4.127,-6.161,-0.997,-1.721,1.994,-0.2,-0.347,-0.459
VIESX666_20230216002023030300T.scan,11,264,-0.299,-0.714,-0.881,-0.649,-0.889,-0.261,1.683,-0.0,-0.0,0.0,-0.407,13.404,-0.919,-13.301,-0.751,-1.311,2.537,-0.196,-0.417,-0.573
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,0.046,0.015,-0.267,0.014,-0.274,-0.136,-0.5,-0.0,0.0,0.0,0.113,-4.312,-5.611,-13.407,-0.257,-0.239,0.582,-0.234,-0.012,0.407
VIESDTC_20230216002023030300T.scan,2,48,-0.058,-0.102,-0.394,-0.108,-0.41,-0.174,0.347,-0.0,0.0,0.0,0.35,2.88,0.371,-9.445,-0.349,-0.176,0.816,-0.161,0.027,0.832
VIESDTC_20230216002023030300T.scan,3,72,-0.306,-0.344,-0.45,-0.358,-0.465,-0.224,1.44,0.0,0.0,0.0,0.657,11.866,7.805,-3.053,-0.619,-0.366,0.871,-0.125,-0.01,0.519
VIESDTC_20230216002023030300T.scan,4,96,-0.469,-0.527,-0.531,-0.548,-0.54,-0.214,2.256,0.0,0.0,0.0,0.929,18.567,13.248,1.683,-0.921,-0.754,0.699,-0.17,-0.096,0.195
VIESDTC_20230216002023030300T.scan,5,120,-0.453,-0.463,-0.539,-0.487,-0.553,-0.284,2.534,0.0,0.0,0.0,1.13,20.985,16.029,3.104,-1.269,-1.158,0.848,-0.252,-0.003,0.041
VIESDTC_20230216002023030300T.scan,6,144,-0.376,-0.373,-0.486,-0.402,-0.498,-0.328,2.092,0.0,0.0,0.0,1.04,17.304,13.112,0.677,-1.044,-1.141,1.082,-0.266,0.038,0.291
VIESDTC_20230216002023030300T.scan,7,168,-0.46,-0.484,-0.479,-0.514,-0.475,-0.298,1.918,0.0,0.0,-0.0,0.678,15.555,10.819,-1.501,-0.816,-0.938,1.017,-0.255,0.028,0.308
VIESDTC_20230216002023030300T.scan,8,192,-0.479,-0.555,-0.455,-0.588,-0.436,-0.226,1.551,0.0,0.0,-0.0,0.337,12.277,7.222,-5.317,-0.777,-0.879,1.173,-0.471,0.002,0.161
VIESDTC_20230216002023030300T.scan,9,216,-0.534,-0.6,-0.584,-0.624,-0.559,-0.204,1.511,0.0,0.0,-0.0,0.191,11.804,5.96,-9.044,-0.792,-0.765,1.505,-0.636,-0.194,-0.396
VIESDTC_20230216002023030300T.scan,10,240,-0.633,-0.727,-0.791,-0.74,-0.758,-0.238,1.813,-0.0,0.0,-0.0,-0.066,14.22,6.502,-12.217,-0.726,-0.627,1.868,-0.488,0.061,0.001
VIESDTC_20230216002023030300T.scan,11,264,-0.821,-0.934,-0.95,-0.933,-0.91,-0.278,1.656,-0.0,0.0,-0.0,-0.399,12.387,2.919,-20.274,-0.519,-0.268,2.221,-0.369,0.098,-0.104
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.064,-0.147,-0.252,-0.133,-0.258,-0.004,-0.474,-0.0,-0.0,0.0,-0.037,-4.376,-6.305,-9.167,-0.085,-0.026,0.41,-0.117,-0.037,0.308
VIESBAMH_20230216002023030300T.scan,2,48,-0.181,-0.318,-0.397,-0.311,-0.415,-0.048,0.459,-0.0,-0.0,0.0,0.212,3.525,0.083,-4.635,-0.005,0.054,0.715,-0.114,0.162,0.577
VIESBAMH_20230216002023030300T.scan,3,72,-0.346,-0.485,-0.455,-0.49,-0.478,-0.127,1.444,-0.0,0.0,0.0,0.577,11.79,7.314,0.536,-0.317,-0.3,0.744,-0.206,0.016,0.179
VIESBAMH_20230216002023030300T.scan,4,96,-0.484,-0.638,-0.504,-0.649,-0.519,-0.147,2.361,0.0,0.0,0.0,0.813,19.474,13.888,5.876,-0.702,-0.645,0.437,-0.293,-0.182,-0.2
VIESBAMH_20230216002023030300T.scan,5,120,-0.47,-0.613,-0.576,-0.63,-0.589,-0.232,2.664,0.0,0.0,0.0,0.966,22.051,16.286,5.41,-1.131,-1.113,0.303,-0.086,0.074,-0.372
VIESBAMH_20230216002023030300T.scan,6,144,-0.391,-0.514,-0.537,-0.533,-0.556,-0.308,2.406,0.0,0.0,0.0,1.024,19.99,14.944,2.708,-0.978,-1.029,0.5,-0.325,0.114,0.017
VIESBAMH_20230216002023030300T.scan,7,168,-0.551,-0.698,-0.588,-0.717,-0.59,-0.263,2.148,0.0,0.0,0.0,0.577,17.316,11.188,-1.897,-0.809,-0.87,0.5,-0.341,0.089,0.126
VIESBAMH_20230216002023030300T.scan,8,192,-0.702,-0.891,-0.663,-0.908,-0.644,-0.24,1.74,-0.0,0.0,-0.0,0.149,13.297,5.702,-8.186,-0.866,-0.877,0.634,-0.203,0.156,0.385
VIESBAMH_20230216002023030300T.scan,9,216,-0.813,-1.009,-0.76,-1.02,-0.736,-0.259,1.991,-0.0,0.0,-0.0,0.031,15.174,6.476,-8.134,-0.927,-0.908,0.843,-0.443,0.091,0.685
VIESBAMH_20230216002023030300T.scan,10,240,-0.701,-0.88,-0.736,-0.9,-0.717,-0.237,1.954,-0.0,0.0,-0.0,0.346,15.248,7.149,-6.915,-0.748,-0.764,1.036,-0.486,0.087,0.671
VIESBAMH_20230216002023030300T.scan,11,264,-0.698,-0.899,-0.8,-0.923,-0.78,-0.17,1.392,-0.0,0.0,-0.0,0.33,10.429,1.85,-12.815,-0.489,-0.518,1.749,-0.534,0.108,0.625
